"Biomarker","Description","Phenotype","HUNT_all","UKBB","HUNT_reduced","Analysis_type","Design","key"
"S_LDL_TG","Triglycerides in Small LDL","PCa_after_70","0.969(95% CI:0.83-1.13; P=0.6862028523)","0.945(95% CI:0.911-0.98; P=0.0023630142)","1.053(95% CI:0.88-1.259; P=0.575881088)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_VLDL_C","Cholesterol in Small VLDL","PCa_after_70","1.02(95% CI:0.889-1.171; P=0.7789773545)","0.975(95% CI:0.944-1.007; P=0.1217562747)","1.087(95% CI:0.92-1.286; P=0.3264566225)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_VLDL_CE","Cholesteryl Esters in Small VLDL","PCa_after_70","1.015(95% CI:0.884-1.166; P=0.8312622901)","0.973(95% CI:0.942-1.005; P=0.0953767929)","1.085(95% CI:0.918-1.284; P=0.3382051399)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_VLDL_FC","Free Cholesterol in Small VLDL","PCa_after_70","1.025(95% CI:0.895-1.176; P=0.7180774526)","0.977(95% CI:0.946-1.009; P=0.1611426922)","1.084(95% CI:0.917-1.281; P=0.3438286506)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_VLDL_PL","Phospholipids in Small VLDL","PCa_after_70","1.011(95% CI:0.88-1.163; P=0.8755517766)","0.971(95% CI:0.94-1.003; P=0.0743518552)","1.085(95% CI:0.917-1.283; P=0.3425987153)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_VLDL_TG","Triglycerides in Small VLDL","PCa_after_70","0.968(95% CI:0.836-1.122; P=0.666648038)","0.966(95% CI:0.933-1; P=0.0492002159)","1.064(95% CI:0.894-1.266; P=0.4861529014)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"SFA","Saturated Fatty Acids","PCa_after_70","0.968(95% CI:0.834-1.124; P=0.6707743466)","0.967(95% CI:0.935-1; P=0.0516393471)","1.061(95% CI:0.89-1.265; P=0.5063829335)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Sphingomyelins","Sphingomyelins","PCa_after_70","0.994(95% CI:0.871-1.136; P=0.933889184)","1.003(95% CI:0.972-1.036; P=0.8501235636)","1.03(95% CI:0.875-1.213; P=0.7199662698)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_C","Total Cholesterol","PCa_after_70","1.023(95% CI:0.895-1.169; P=0.7387738056)","0.992(95% CI:0.961-1.024; P=0.6219776825)","1.058(95% CI:0.898-1.246; P=0.5030939757)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_CE","Total Esterified Cholesterol","PCa_after_70","1.025(95% CI:0.897-1.171; P=0.7202700533)","0.994(95% CI:0.963-1.026; P=0.7211031557)","1.055(95% CI:0.895-1.243; P=0.5230663676)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_FA","Total Fatty Acids","PCa_after_70","0.972(95% CI:0.837-1.129; P=0.7130202822)","0.97(95% CI:0.938-1.003; P=0.0780160906)","1.068(95% CI:0.896-1.272; P=0.4642334555)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_FC","Total Free Cholesterol","PCa_after_70","1.015(95% CI:0.887-1.162; P=0.8261676149)","0.984(95% CI:0.954-1.016; P=0.316674972)","1.06(95% CI:0.899-1.25; P=0.4861913238)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_L","Total Lipids in Lipoprotein Particles","PCa_after_70","0.997(95% CI:0.867-1.147; P=0.9695851617)","0.977(95% CI:0.947-1.009; P=0.1605622796)","1.065(95% CI:0.901-1.26; P=0.4593465728)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_PL","Total Phospholipids in Lipoprotein Particles","PCa_after_70","0.975(95% CI:0.849-1.121; P=0.7231459278)","0.988(95% CI:0.956-1.02; P=0.453591225)","1.026(95% CI:0.868-1.212; P=0.7654946064)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_TG","Total Triglycerides","PCa_after_70","0.987(95% CI:0.852-1.145; P=0.8672472142)","0.96(95% CI:0.928-0.994; P=0.0201057672)","1.089(95% CI:0.912-1.299; P=0.345234381)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Tyr","Tyrosine","PCa_after_70","0.966(95% CI:0.841-1.109; P=0.6234323997)","0.954(95% CI:0.924-0.986; P=0.0051031927)","0.957(95% CI:0.806-1.137; P=0.6198790701)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Unsaturation","Degree of Unsaturation","PCa_after_70","0.978(95% CI:0.856-1.117; P=0.7425635503)","1.068(95% CI:1.034-1.104; P=0.0000856401)","0.965(95% CI:0.813-1.145; P=0.682871103)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Val","Valine","PCa_after_70","0.972(95% CI:0.844-1.12; P=0.6988952181)","0.993(95% CI:0.96-1.027; P=0.669940524)","0.984(95% CI:0.825-1.174; P=0.8574611105)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_C","VLDL Cholesterol","PCa_after_70","1.018(95% CI:0.885-1.171; P=0.8000930147)","0.97(95% CI:0.94-1.002; P=0.0645495606)","1.1(95% CI:0.929-1.302; P=0.2707319207)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_CE","Cholesteryl Esters in VLDL","PCa_after_70","1.02(95% CI:0.889-1.171; P=0.7755847539)","0.974(95% CI:0.944-1.006; P=0.1064173869)","1.092(95% CI:0.923-1.291; P=0.3039846074)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_FC","Free Cholesterol in VLDL","PCa_after_70","1.012(95% CI:0.877-1.168; P=0.8686469733)","0.963(95% CI:0.932-0.995; P=0.0256623119)","1.097(95% CI:0.925-1.302; P=0.2869336239)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_L","Total Lipids in VLDL","PCa_after_70","1.007(95% CI:0.871-1.164; P=0.9284128549)","0.963(95% CI:0.932-0.996; P=0.0263044989)","1.109(95% CI:0.933-1.32; P=0.2411147035)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_PL","Phospholipids in VLDL","PCa_after_70","1.005(95% CI:0.87-1.162; P=0.9434412934)","0.96(95% CI:0.929-0.992; P=0.0161131151)","1.096(95% CI:0.922-1.302; P=0.2973803577)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"VLDL_TG","Triglycerides in VLDL","PCa_after_70","1.004(95% CI:0.868-1.161; P=0.958611138)","0.961(95% CI:0.929-0.995; P=0.0240174179)","1.101(95% CI:0.924-1.311; P=0.2821633604)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_C","Cholesterol in Very Large HDL","PCa_after_70","0.935(95% CI:0.82-1.066; P=0.3150410671)","1.012(95% CI:0.98-1.044; P=0.4663712499)","0.915(95% CI:0.774-1.08; P=0.2933515661)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_CE","Cholesteryl Esters in Very Large HDL","PCa_after_70","0.936(95% CI:0.821-1.068; P=0.3259713654)","1.014(95% CI:0.983-1.047; P=0.3739006604)","0.914(95% CI:0.773-1.081; P=0.2931832342)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_FC","Free Cholesterol in Very Large HDL","PCa_after_70","0.932(95% CI:0.818-1.062; P=0.2926788582)","1.001(95% CI:0.97-1.032; P=0.9698210665)","0.919(95% CI:0.779-1.084; P=0.3148493093)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_PL","Phospholipids in Very Large HDL","PCa_after_70","0.918(95% CI:0.803-1.05; P=0.2130186382)","1.012(95% CI:0.981-1.045; P=0.4436438243)","0.9(95% CI:0.759-1.067; P=0.2249053986)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_HDL_TG","Triglycerides in Very Large HDL","PCa_after_70","0.911(95% CI:0.781-1.064; P=0.2407099311)","0.955(95% CI:0.922-0.989; P=0.0091045742)","0.992(95% CI:0.828-1.188; P=0.9284776782)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_C","Cholesterol in Very Large VLDL","PCa_after_70","1.023(95% CI:0.884-1.183; P=0.7642953311)","0.956(95% CI:0.923-0.989; P=0.0093303719)","1.106(95% CI:0.931-1.315; P=0.2513911888)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_CE","Cholesteryl Esters in Very Large VLDL","PCa_after_70","1.033(95% CI:0.895-1.191; P=0.6593610596)","0.96(95% CI:0.928-0.993; P=0.0165243008)","1.113(95% CI:0.938-1.319; P=0.2196781536)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_FC","Free Cholesterol in Very Large VLDL","PCa_after_70","1.01(95% CI:0.871-1.172; P=0.8925381485)","0.952(95% CI:0.92-0.986; P=0.0063487368)","1.094(95% CI:0.918-1.304; P=0.3135316515)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_PL","Phospholipids in Very Large VLDL","PCa_after_70","1.01(95% CI:0.87-1.172; P=0.8980434488)","0.951(95% CI:0.918-0.985; P=0.0049464722)","1.092(95% CI:0.916-1.302; P=0.3241003196)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XL_VLDL_TG","Triglycerides in Very Large VLDL","PCa_after_70","1.013(95% CI:0.874-1.174; P=0.8671655832)","0.955(95% CI:0.922-0.989; P=0.009658084)","1.096(95% CI:0.919-1.307; P=0.3076087003)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_C","Cholesterol in Very Small VLDL","PCa_after_70","0.989(95% CI:0.864-1.133; P=0.8769985044)","0.987(95% CI:0.957-1.018; P=0.41562509)","1.035(95% CI:0.878-1.221; P=0.681996539)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_CE","Cholesteryl Esters in Very Small VLDL","PCa_after_70","0.993(95% CI:0.869-1.135; P=0.9206776793)","0.99(95% CI:0.96-1.022; P=0.5415493315)","1.032(95% CI:0.875-1.215; P=0.7108890038)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_FC","Free Cholesterol in Very Small VLDL","PCa_after_70","0.979(95% CI:0.851-1.125; P=0.7619888044)","0.978(95% CI:0.947-1.01; P=0.1735715714)","1.037(95% CI:0.876-1.227; P=0.6712287676)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_PL","Phospholipids in Very Small VLDL","PCa_after_70","0.963(95% CI:0.834-1.111; P=0.6044561426)","0.972(95% CI:0.941-1.004; P=0.0825403612)","1.023(95% CI:0.862-1.214; P=0.7982664312)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XS_VLDL_TG","Triglycerides in Very Small VLDL","PCa_after_70","0.93(95% CI:0.798-1.084; P=0.3528728317)","0.958(95% CI:0.925-0.992; P=0.0161628402)","1.007(95% CI:0.842-1.204; P=0.9397662222)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_C","Cholesterol in Chylomicrons and Extremely Large VLDL","PCa_after_70","1.004(95% CI:0.864-1.167; P=0.9588070559)","0.951(95% CI:0.918-0.986; P=0.0061336069)","1.084(95% CI:0.908-1.295; P=0.3712245769)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_CE","Cholesteryl Esters in Chylomicrons and Extremely Large VLDL","PCa_after_70","1.013(95% CI:0.873-1.176; P=0.86246018)","0.95(95% CI:0.917-0.985; P=0.0054147312)","1.096(95% CI:0.92-1.306; P=0.3050030028)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_FC","Free Cholesterol in Chylomicrons and Extremely Large VLDL","PCa_after_70","0.991(95% CI:0.85-1.155; P=0.9071358629)","0.952(95% CI:0.918-0.987; P=0.0074320433)","1.067(95% CI:0.891-1.278; P=0.4813457122)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_PL","Phospholipids in Chylomicrons and Extremely Large VLDL","PCa_after_70","0.997(95% CI:0.856-1.161; P=0.9654325562)","0.949(95% CI:0.916-0.984; P=0.0049627462)","1.072(95% CI:0.896-1.284; P=0.4465611605)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"XXL_VLDL_TG","Triglycerides in Chylomicrons and Extremely Large VLDL","PCa_after_70","0.995(95% CI:0.855-1.158; P=0.9512515682)","0.949(95% CI:0.916-0.984; P=0.0040732507)","1.059(95% CI:0.883-1.27; P=0.5352673226)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Acetate","Acetate","PCa_before_70","0.983(95% CI:0.851-1.136; P=0.8196423484)","0.992(95% CI:0.964-1.02; P=0.5603146541)","0.981(95% CI:0.831-1.159; P=0.8230928622)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Acetoacetate","Acetoacetate","PCa_before_70","0.954(95% CI:0.822-1.106; P=0.5308450771)","1.007(95% CI:0.982-1.033; P=0.5790823061)","0.947(95% CI:0.817-1.099; P=0.4751695837)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Acetone","Acetone","PCa_before_70","0.971(95% CI:0.833-1.132; P=0.7055723391)","1.007(95% CI:0.982-1.033; P=0.5694924485)","0.968(95% CI:0.834-1.123; P=0.664292861)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Ala","Alanine","PCa_before_70","0.926(95% CI:0.802-1.069; P=0.2959393642)","0.918(95% CI:0.894-0.942; P=0.0000000002)","0.944(95% CI:0.82-1.087; P=0.4226389048)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Albumin","Albumin","PCa_before_70","1.088(95% CI:0.936-1.266; P=0.2723840838)","0.975(95% CI:0.95-1.001; P=0.0601488923)","1.08(95% CI:0.937-1.244; P=0.286500771)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"ApoA1","Apolipoprotein A1","PCa_before_70","1.041(95% CI:0.9-1.205; P=0.5854438861)","0.974(95% CI:0.948-1.002; P=0.0666169659)","1.042(95% CI:0.903-1.203; P=0.572910048)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"ApoB","Apolipoprotein B","PCa_before_70","1.217(95% CI:1.052-1.408; P=0.0081792563)","1.005(95% CI:0.979-1.031; P=0.7049219727)","1.204(95% CI:1.046-1.387; P=0.0099416942)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"bOHbutyrate","3-Hydroxybutyrate","PCa_before_70","0.935(95% CI:0.793-1.103; P=0.42585076)","1.007(95% CI:0.981-1.033; P=0.6042956067)","0.939(95% CI:0.802-1.1; P=0.4383446078)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Cholines","Total Cholines","PCa_before_70","1.168(95% CI:1.008-1.352; P=0.0385809347)","0.976(95% CI:0.95-1.003; P=0.0775404639)","1.158(95% CI:1.007-1.333; P=0.0400617255)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Citrate","Citrate","PCa_before_70","0.925(95% CI:0.792-1.08; P=0.3238121593)","0.953(95% CI:0.928-0.979; P=0.0003781024)","0.936(95% CI:0.81-1.082; P=0.3699246504)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Clinical_LDL_C","Clinical LDL Cholesterol","PCa_before_70","1.213(95% CI:1.044-1.41; P=0.0117691202)","1.015(95% CI:0.989-1.042; P=0.2646927779)","1.199(95% CI:1.037-1.386; P=0.0141406851)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Creatinine","Creatinine","PCa_before_70","1.085(95% CI:0.932-1.263; P=0.2912789561)","1.015(95% CI:0.99-1.041; P=0.2413668162)","1.098(95% CI:0.953-1.265; P=0.196061373)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"DHA","Docosahexaenoic Acid","PCa_before_70","1.028(95% CI:0.893-1.184; P=0.7003653535)","1.072(95% CI:1.046-1.099; P=0.0000000463)","1.035(95% CI:0.901-1.189; P=0.6234845433)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Gln","Glutamine","PCa_before_70","1.003(95% CI:0.868-1.159; P=0.9687146329)","0.961(95% CI:0.936-0.986; P=0.0026031633)","1.02(95% CI:0.881-1.18; P=0.7946195125)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Glucose","Glucose","PCa_before_70","0.834(95% CI:0.711-0.978; P=0.0254310511)","0.946(95% CI:0.92-0.973; P=0.0000859854)","0.843(95% CI:0.72-0.987; P=0.0334572368)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Gly","Glycine","PCa_before_70","1.046(95% CI:0.905-1.209; P=0.5417338177)","0.976(95% CI:0.95-1.003; P=0.0762815758)","1.065(95% CI:0.924-1.227; P=0.3859419387)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"GlycA","Glycoprotein Acetyls","PCa_before_70","1.128(95% CI:0.976-1.303; P=0.1029519561)","0.991(95% CI:0.964-1.018; P=0.5099119698)","1.13(95% CI:0.977-1.305; P=0.0987924844)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_C","HDL Cholesterol","PCa_before_70","1.013(95% CI:0.873-1.174; P=0.8660687569)","0.996(95% CI:0.969-1.025; P=0.7949722882)","1.015(95% CI:0.877-1.176; P=0.8383390705)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_CE","Cholesteryl Esters in HDL","PCa_before_70","1.003(95% CI:0.865-1.163; P=0.972116362)","0.998(95% CI:0.97-1.026; P=0.8692325745)","1.005(95% CI:0.867-1.165; P=0.9488074364)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_FC","Free Cholesterol in HDL","PCa_before_70","1.032(95% CI:0.892-1.194; P=0.6691999618)","0.992(95% CI:0.965-1.02; P=0.5831430885)","1.035(95% CI:0.898-1.194; P=0.6316712586)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_L","Total Lipids in HDL","PCa_before_70","1.023(95% CI:0.883-1.185; P=0.7614252281)","0.981(95% CI:0.955-1.009; P=0.1830534225)","1.025(95% CI:0.888-1.184; P=0.7345982627)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_PL","Phospholipids in HDL","PCa_before_70","1.009(95% CI:0.873-1.167; P=0.9010493594)","0.976(95% CI:0.95-1.004; P=0.0904910519)","1.012(95% CI:0.876-1.168; P=0.8735026832)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"HDL_TG","Triglycerides in HDL","PCa_before_70","1.067(95% CI:0.93-1.224; P=0.3529190486)","0.956(95% CI:0.93-0.982; P=0.0010021128)","1.068(95% CI:0.929-1.228; P=0.3570136253)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"His","Histidine","PCa_before_70","1.036(95% CI:0.901-1.191; P=0.6237499227)","1.02(95% CI:0.995-1.046; P=0.1139932322)","1.041(95% CI:0.907-1.196; P=0.5663388828)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_C","Cholesterol in IDL","PCa_before_70","1.19(95% CI:1.029-1.376; P=0.0187082411)","1.016(95% CI:0.99-1.043; P=0.234777245)","1.181(95% CI:1.026-1.36; P=0.0208661499)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_CE","Cholesteryl Esters in IDL","PCa_before_70","1.193(95% CI:1.033-1.379; P=0.0166695998)","1.014(95% CI:0.988-1.041; P=0.2935534558)","1.184(95% CI:1.029-1.363; P=0.0183710796)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_FC","Free Cholesterol in IDL","PCa_before_70","1.164(95% CI:1.011-1.339; P=0.0344707214)","1.017(95% CI:0.991-1.044; P=0.1935736612)","1.157(95% CI:1.008-1.329; P=0.0385790423)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_PL","Phospholipids in IDL","PCa_before_70","1.182(95% CI:1.026-1.362; P=0.0209447258)","1.013(95% CI:0.987-1.04; P=0.3149539228)","1.172(95% CI:1.02-1.346; P=0.0247208283)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"IDL_TG","Triglycerides in IDL","PCa_before_70","1.1(95% CI:0.961-1.26; P=0.1665584891)","0.969(95% CI:0.943-0.996; P=0.0229296033)","1.099(95% CI:0.96-1.258; P=0.1723484153)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Ile","Isoleucine","PCa_before_70","0.947(95% CI:0.822-1.091; P=0.4489537513)","0.981(95% CI:0.955-1.007; P=0.1474084845)","0.953(95% CI:0.825-1.099; P=0.5061727483)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_C","Cholesterol in Large HDL","PCa_before_70","0.959(95% CI:0.824-1.117; P=0.5900383235)","1.015(95% CI:0.988-1.044; P=0.2777458913)","0.964(95% CI:0.829-1.121; P=0.6318930809)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_CE","Cholesteryl Esters in Large HDL","PCa_before_70","0.954(95% CI:0.819-1.112; P=0.5479862157)","1.016(95% CI:0.989-1.045; P=0.2443709254)","0.959(95% CI:0.824-1.116; P=0.5866519776)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_FC","Free Cholesterol in Large HDL","PCa_before_70","0.962(95% CI:0.826-1.119; P=0.6140688573)","1.011(95% CI:0.984-1.039; P=0.4311427174)","0.967(95% CI:0.834-1.123; P=0.6631255242)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_PL","Phospholipids in Large HDL","PCa_before_70","0.955(95% CI:0.821-1.109; P=0.5451041324)","1.004(95% CI:0.977-1.032; P=0.7857344902)","0.96(95% CI:0.828-1.114; P=0.5913749813)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_HDL_TG","Triglycerides in Large HDL","PCa_before_70","1.046(95% CI:0.914-1.198; P=0.5103799033)","0.969(95% CI:0.944-0.995; P=0.0192351252)","1.048(95% CI:0.914-1.201; P=0.5007583678)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_C","Cholesterol in Large LDL","PCa_before_70","1.201(95% CI:1.037-1.39; P=0.0144016436)","1.014(95% CI:0.988-1.041; P=0.3066254965)","1.189(95% CI:1.032-1.371; P=0.0168417153)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_CE","Cholesteryl Esters in Large LDL","PCa_before_70","1.205(95% CI:1.041-1.395; P=0.0122291336)","1.011(95% CI:0.985-1.038; P=0.3970543469)","1.193(95% CI:1.036-1.375; P=0.0143247481)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_FC","Free Cholesterol in Large LDL","PCa_before_70","1.171(95% CI:1.017-1.348; P=0.0286696074)","1.016(95% CI:0.99-1.043; P=0.2403817221)","1.164(95% CI:1.013-1.339; P=0.0324060457)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_PL","Phospholipids in Large LDL","PCa_before_70","1.202(95% CI:1.042-1.387; P=0.0114363569)","1.008(95% CI:0.982-1.034; P=0.5545816005)","1.192(95% CI:1.037-1.37; P=0.0133896678)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_LDL_TG","Triglycerides in Large LDL","PCa_before_70","1.108(95% CI:0.968-1.27; P=0.1368756519)","0.964(95% CI:0.938-0.991; P=0.0085272192)","1.108(95% CI:0.968-1.268; P=0.1370509855)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_C","Cholesterol in Large VLDL","PCa_before_70","1.159(95% CI:1.009-1.331; P=0.0367258998)","0.976(95% CI:0.95-1.002; P=0.0688601578)","1.158(95% CI:1.006-1.332; P=0.0405526074)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_CE","Cholesteryl Esters in Large VLDL","PCa_before_70","1.178(95% CI:1.026-1.352; P=0.0198930091)","0.984(95% CI:0.959-1.01; P=0.2267702802)","1.174(95% CI:1.022-1.349; P=0.0237531142)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_FC","Free Cholesterol in Large VLDL","PCa_before_70","1.135(95% CI:0.99-1.301; P=0.0686277765)","0.968(95% CI:0.942-0.994; P=0.0179106595)","1.137(95% CI:0.989-1.307; P=0.0702130618)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_PL","Phospholipids in Large VLDL","PCa_before_70","1.123(95% CI:0.979-1.288; P=0.0964209193)","0.965(95% CI:0.939-0.991; P=0.0098687825)","1.126(95% CI:0.979-1.295; P=0.0973073804)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"L_VLDL_TG","Triglycerides in Large VLDL","PCa_before_70","1.106(95% CI:0.964-1.269; P=0.1509074453)","0.968(95% CI:0.942-0.994; P=0.0163275495)","1.112(95% CI:0.966-1.28; P=0.1410379463)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LA","Linoleic Acid","PCa_before_70","1.256(95% CI:1.084-1.454; P=0.0023246157)","0.971(95% CI:0.946-0.996; P=0.0258504815)","1.24(95% CI:1.075-1.429; P=0.0031192538)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Lactate","Lactate","PCa_before_70","1.037(95% CI:0.898-1.198; P=0.6199072469)","0.983(95% CI:0.957-1.009; P=0.1953547062)","1.046(95% CI:0.907-1.206; P=0.5394383545)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_C","LDL Cholesterol","PCa_before_70","1.216(95% CI:1.048-1.411; P=0.010021048)","1.01(95% CI:0.984-1.036; P=0.4756815735)","1.202(95% CI:1.042-1.387; P=0.0118347188)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_CE","Cholesteryl Esters in LDL","PCa_before_70","1.22(95% CI:1.052-1.416; P=0.0086086793)","1.005(95% CI:0.979-1.032; P=0.6975004006)","1.206(95% CI:1.045-1.391; P=0.0101701852)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_FC","Free Cholesterol in LDL","PCa_before_70","1.182(95% CI:1.024-1.363; P=0.0218784118)","1.017(95% CI:0.991-1.044; P=0.210028947)","1.174(95% CI:1.02-1.351; P=0.0249957761)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_L","Total Lipids in LDL","PCa_before_70","1.223(95% CI:1.053-1.421; P=0.0085176935)","1.007(95% CI:0.981-1.033; P=0.6244618029)","1.208(95% CI:1.046-1.394; P=0.0100399829)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"LDL_PL","Phospholipids in LDL","PCa_before_70","1.214(95% CI:1.05-1.403; P=0.0087087554)","1.006(95% CI:0.98-1.032; P=0.6608531306)","1.202(95% CI:1.045-1.383; P=0.0101257765)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
