"Biomarker","Description","Phenotype","HUNT_all","UKBB","HUNT_reduced","Analysis_type","Design","key"
"M_VLDL_PL","Phospholipids in Medium VLDL","BC","0.996(95% CI:0.866-1.146; P=0.9569687566)","1.013(95% CI:0.99-1.036; P=0.2849149373)","1.037(95% CI:0.89-1.209; P=0.6433333644)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"M_VLDL_TG","Triglycerides in Medium VLDL","BC","1.057(95% CI:0.923-1.212; P=0.4229174574)","1.02(95% CI:0.997-1.045; P=0.0896854631)","1.109(95% CI:0.953-1.292; P=0.1805659955)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"MUFA","Monounsaturated Fatty Acids","BC","1.066(95% CI:0.924-1.23; P=0.3814854815)","1.025(95% CI:1.001-1.05; P=0.0427721585)","1.101(95% CI:0.943-1.287; P=0.2239497649)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"non_HDL_C","Total Cholesterol Minus HDL-C","BC","0.956(95% CI:0.83-1.102; P=0.5369711317)","1.006(95% CI:0.983-1.029; P=0.6306954465)","1(95% CI:0.859-1.165; P=0.9960935156)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Omega_3","Omega-3 Fatty Acids","BC","0.942(95% CI:0.812-1.093; P=0.4333821432)","0.998(95% CI:0.975-1.022; P=0.8774770918)","0.952(95% CI:0.812-1.117; P=0.5479906867)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Omega_6","Omega-6 Fatty Acids","BC","0.999(95% CI:0.865-1.152; P=0.9841701863)","1.002(95% CI:0.979-1.025; P=0.869127577)","1.034(95% CI:0.887-1.207; P=0.6665549922)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Phe","Phenylalanine","BC","1.018(95% CI:0.886-1.169; P=0.8028613169)","0.999(95% CI:0.976-1.021; P=0.8984109405)","1.028(95% CI:0.879-1.203; P=0.7251696595)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Phosphatidylc","Phosphatidylcholines","BC","0.991(95% CI:0.855-1.149; P=0.9065619176)","1.001(95% CI:0.978-1.025; P=0.934541578)","1.023(95% CI:0.876-1.195; P=0.7716945493)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Phosphoglyc","Phosphoglycerides","BC","0.993(95% CI:0.857-1.151; P=0.9285936579)","1.003(95% CI:0.979-1.027; P=0.8180599991)","1.026(95% CI:0.879-1.199; P=0.7421811757)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"PUFA","Polyunsaturated Fatty Acids","BC","0.98(95% CI:0.845-1.137; P=0.7890805227)","1.001(95% CI:0.978-1.024; P=0.9642999648)","1.014(95% CI:0.868-1.186; P=0.8569522139)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Pyruvate","Pyruvate","BC","1.138(95% CI:1.012-1.279; P=0.0313554383)","1.022(95% CI:1-1.045; P=0.0536429984)","1.188(95% CI:1.042-1.354; P=0.0100207779)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Remnant_C","Remnant Cholesterol (Non-HDL and Non-LDL -Cholesterol)","BC","0.972(95% CI:0.843-1.121; P=0.6986029677)","1.008(95% CI:0.985-1.031; P=0.4971909758)","1.009(95% CI:0.866-1.176; P=0.9036610209)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_HDL_C","Cholesterol in Small HDL","BC","0.913(95% CI:0.796-1.048; P=0.1950698854)","0.993(95% CI:0.97-1.016; P=0.5474724587)","0.976(95% CI:0.838-1.136; P=0.7509278421)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_HDL_CE","Cholesteryl Esters in Small HDL","BC","0.902(95% CI:0.789-1.03; P=0.1265600948)","0.991(95% CI:0.969-1.014; P=0.4340050883)","0.966(95% CI:0.832-1.121; P=0.6451742547)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_HDL_FC","Free Cholesterol in Small HDL","BC","0.975(95% CI:0.844-1.128; P=0.7362358453)","1.001(95% CI:0.978-1.024; P=0.9563666649)","1.012(95% CI:0.866-1.183; P=0.8831986743)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_HDL_PL","Phospholipids in Small HDL","BC","0.976(95% CI:0.847-1.124; P=0.7352138603)","1.004(95% CI:0.981-1.027; P=0.7585566189)","1.033(95% CI:0.884-1.206; P=0.6830545941)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_HDL_TG","Triglycerides in Small HDL","BC","1.066(95% CI:0.93-1.221; P=0.3586818309)","1.026(95% CI:1.002-1.051; P=0.0328507337)","1.084(95% CI:0.931-1.261; P=0.3000964756)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_LDL_C","Cholesterol in Small LDL","BC","0.968(95% CI:0.842-1.113; P=0.6477323085)","1.007(95% CI:0.984-1.03; P=0.5706375011)","1.008(95% CI:0.867-1.173; P=0.9141750438)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_LDL_CE","Cholesteryl Esters in Small LDL","BC","0.983(95% CI:0.855-1.13; P=0.8085768419)","1.009(95% CI:0.986-1.033; P=0.4304067839)","1.023(95% CI:0.878-1.191; P=0.7730003589)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_LDL_FC","Free Cholesterol in Small LDL","BC","0.929(95% CI:0.811-1.063; P=0.28433439)","0.999(95% CI:0.977-1.022; P=0.9454624284)","0.966(95% CI:0.833-1.12; P=0.6459868112)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_LDL_PL","Phospholipids in Small LDL","BC","0.982(95% CI:0.854-1.128; P=0.7936212455)","1.01(95% CI:0.987-1.033; P=0.4047539415)","1.014(95% CI:0.872-1.178; P=0.8601404879)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_LDL_TG","Triglycerides in Small LDL","BC","1.095(95% CI:0.962-1.247; P=0.1676961558)","1.026(95% CI:1.003-1.049; P=0.0288700625)","1.1(95% CI:0.953-1.27; P=0.1920842961)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_VLDL_C","Cholesterol in Small VLDL","BC","0.976(95% CI:0.848-1.123; P=0.7332160677)","1.014(95% CI:0.991-1.038; P=0.2213726453)","1.005(95% CI:0.862-1.173; P=0.9459704112)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_VLDL_CE","Cholesteryl Esters in Small VLDL","BC","0.981(95% CI:0.852-1.13; P=0.7909067974)","1.016(95% CI:0.993-1.04; P=0.1687460172)","1.006(95% CI:0.862-1.174; P=0.9360363164)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_VLDL_FC","Free Cholesterol in Small VLDL","BC","0.968(95% CI:0.842-1.114; P=0.6539807353)","1.011(95% CI:0.988-1.035; P=0.3381962677)","1.004(95% CI:0.861-1.169; P=0.9639178233)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_VLDL_PL","Phospholipids in Small VLDL","BC","0.992(95% CI:0.862-1.142; P=0.9141569004)","1.016(95% CI:0.993-1.04; P=0.1803783486)","1.026(95% CI:0.879-1.196; P=0.7481583068)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"S_VLDL_TG","Triglycerides in Small VLDL","BC","1.077(95% CI:0.941-1.233; P=0.2803421864)","1.026(95% CI:1.003-1.05; P=0.0289729257)","1.101(95% CI:0.947-1.279; P=0.2109820651)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"SFA","Saturated Fatty Acids","BC","1.051(95% CI:0.909-1.215; P=0.5045687636)","1.022(95% CI:0.999-1.047; P=0.0645277926)","1.082(95% CI:0.927-1.262; P=0.3181189761)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Sphingomyelins","Sphingomyelins","BC","0.949(95% CI:0.822-1.095; P=0.4725462427)","0.997(95% CI:0.974-1.021; P=0.8208226585)","0.973(95% CI:0.834-1.136; P=0.7323991068)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
"Total_C","Total Cholesterol","BC","0.955(95% CI:0.829-1.1; P=0.5242846695)","1(95% CI:0.977-1.023; P=0.9932757499)","0.996(95% CI:0.855-1.159; P=0.9562969691)","Adjusted","healthy_noncancer_control","Adjusted healthy_noncancer_control"
